100026.txt,	Final cells: 889
100027.txt,	Final cells: 1537
100028.txt,	Final cells: 509
100029.txt,	Final cells: 2168
100030.txt,	Final cells: 16906
100031.txt,	Final cells: 1539
100032.txt,	Final cells: 8241
100033.txt,	Final cells: 604
100034.txt,	Final cells: 297
100035.txt,	Final cells: 2291
100036.txt,	Final cells: 1033
100037.txt,	Final cells: 877
100040.txt,	Final cells: 2181
100045.txt,	Final cells: 1062
100046.txt,	Final cells: 7499
100047.txt,	Final cells: 10558
100070.txt,	Final cells: 17177
100071.txt,	Final cells: 3231
100072.txt,	Final cells: 1428
100073.txt,	Final cells: 1508
100075.txt,	Final cells: 5655
100077.txt,	Final cells: 902
100139.txt,	Final cells: 29796
100173.txt,	Final cells: 939
1001930.txt,	Final cells: 121094
1001931.txt,	Final cells: 120694
100281.txt,	Final cells: 586388
100282.txt,	Final cells: 675003
100322.txt,	Final cells: 3082
100323.txt,	Final cells: 3051
100330.txt,	Final cells: 7275
100331.txt,	Final cells: 7455
100335.txt,	Final cells: 420115
100336.txt,	Final cells: 181694
100339.txt,	Final cells: 49574
100340.txt,	Final cells: 59709
100342.txt,	Final cells: 51435
100343.txt,	Final cells: 53307
100344.txt,	Final cells: 71629
100345.txt,	Final cells: 29535
100346.txt,	Final cells: 178441
100349.txt,	Final cells: 36541
100388.txt,	Final cells: 303085
100423.txt,	Final cells: 2014
100471.txt,	Final cells: 66655
100478.txt,	Final cells: 35362
1004824.txt,	Final cells: 234183
1004825.txt,	Final cells: 3531
1004826.txt,	Final cells: 3306
1004827.txt,	Final cells: 21726
100500.txt,	Final cells: 2162
100506.txt,	Final cells: 111615
100507.txt,	Final cells: 83121
1005266.txt,	Final cells: 37129
1005267.txt,	Final cells: 38810
1005268.txt,	Final cells: 52622
1005269.txt,	Final cells: 26552
1005270.txt,	Final cells: 40418
1005271.txt,	Final cells: 50937
1005272.txt,	Final cells: 33410
1005273.txt,	Final cells: 39779
1005275.txt,	Final cells: 51832
1005276.txt,	Final cells: 67655
1005277.txt,	Final cells: 55408
1005278.txt,	Final cells: 62365
1005279.txt,	Final cells: 40445
1005280.txt,	Final cells: 40446
1005281.txt,	Final cells: 48633
1005282.txt,	Final cells: 32203
1005283.txt,	Final cells: 39187
1005284.txt,	Final cells: 48409
1005285.txt,	Final cells: 1350
1005286.txt,	Final cells: 33884
1005287.txt,	Final cells: 41419
1005288.txt,	Final cells: 47592
1005289.txt,	Final cells: 53337
1005290.txt,	Final cells: 57430
1005291.txt,	Final cells: 77847
1005292.txt,	Final cells: 58753
100606.txt,	Final cells: 11758
100638.txt,	Final cells: 1147
100639.txt,	Final cells: 11227
100640.txt,	Final cells: 19440
100641.txt,	Final cells: 7185
100642.txt,	Final cells: 30964
100643.txt,	Final cells: 405
100644.txt,	Final cells: 50551
100645.txt,	Final cells: 12384
100646.txt,	Final cells: 43741
100678.txt,	Final cells: 1365
100679.txt,	Final cells: 1356
100680.txt,	Final cells: 1342
100681.txt,	Final cells: 1309
100682.txt,	Final cells: 5969
100727.txt,	Final cells: 775843
100728.txt,	Final cells: 82
100729.txt,	Final cells: 16384
100730.txt,	Final cells: 17847
100732.txt,	Final cells: 40522
100733.txt,	Final cells: 12077
1007405.txt,	Final cells: 145899
1007406.txt,	Final cells: 126809
100815.txt,	Final cells: 14915
100827.txt,	Final cells: 432
100831.txt,	Final cells: 477808
100887.txt,	Final cells: 63415
100894.txt,	Final cells: 38552
1009280.txt,	Final cells: 8113
101085.txt,	Final cells: 7628
101089.txt,	Final cells: 26101
101168.txt,	Final cells: 155171
101170.txt,	Final cells: 198
101187.txt,	Final cells: 482
101213.txt,	Final cells: 70022
101214.txt,	Final cells: 17762
1012236.txt,	Final cells: 209759
101249.txt,	Final cells: 3378
101250.txt,	Final cells: 829
1013014.txt,	Final cells: 130374
1013015.txt,	Final cells: 160666
101330.txt,	Final cells: 428380
101331.txt,	Final cells: 127623
101332.txt,	Final cells: 302989
101333.txt,	Final cells: 117896
101337.txt,	Final cells: 826511
101338.txt,	Final cells: 226912
101339.txt,	Final cells: 249880
101340.txt,	Final cells: 147287
101341.txt,	Final cells: 66788
101342.txt,	Final cells: 159868
101397.txt,	Final cells: 66788
1015402.txt,	Final cells: 49125
101548.txt,	Final cells: 44372
101550.txt,	Final cells: 5517
101556.txt,	Final cells: 60752
101558.txt,	Final cells: 144
101560.txt,	Final cells: 912
101582.txt,	Final cells: 357545
1015841.txt,	Final cells: 355740
1015842.txt,	Final cells: 688825
1016001.txt,	Final cells: 994880
1016024.txt,	Final cells: 1018207
101619.txt,	Final cells: 99546
101620.txt,	Final cells: 89678
101632.txt,	Final cells: 2351434
101634.txt,	Final cells: 378880
101635.txt,	Final cells: 183275
101636.txt,	Final cells: 55345
101647.txt,	Final cells: 11455
101648.txt,	Final cells: 186684
1016856.txt,	Final cells: 7831
1016874.txt,	Final cells: 7831
1017010.txt,	Final cells: 6645
1017011.txt,	Final cells: 359403
1017012.txt,	Final cells: 141373
1017013.txt,	Final cells: 35884
1017014.txt,	Final cells: 31236
1017015.txt,	Final cells: 243142
1017016.txt,	Final cells: 61971
1017017.txt,	Final cells: 27784
1017018.txt,	Final cells: 262720
1017019.txt,	Final cells: 274486
1017020.txt,	Final cells: 261166
1018273.txt,	Final cells: 616
1018274.txt,	Final cells: 838
1018275.txt,	Final cells: 628
1018276.txt,	Final cells: 7223
1018278.txt,	Final cells: 4837
1018279.txt,	Final cells: 9155
1018295.txt,	Final cells: 772
101864.txt,	Final cells: 77239
101865.txt,	Final cells: 106272
101881.txt,	Final cells: 430453
101902.txt,	Final cells: 25609
101951.txt,	Final cells: 294
101952.txt,	Final cells: 9072
101953.txt,	Final cells: 1552
101954.txt,	Final cells: 10286
101955.txt,	Final cells: 9587
101956.txt,	Final cells: 7628
101974.txt,	Final cells: 247141
102028.txt,	Final cells: 110414
102037.txt,	Final cells: 106643
102038.txt,	Final cells: 109177
102041.txt,	Final cells: 30
1020669.txt,	Final cells: 1826
102066.txt,	Final cells: 5221
102068.txt,	Final cells: 470889
1021166.txt,	Final cells: 92970
1021167.txt,	Final cells: 7620
102248.txt,	Final cells: 6471
102249.txt,	Final cells: 62042
102250.txt,	Final cells: 255478
102255.txt,	Final cells: 95807
102257.txt,	Final cells: 139450
102294.txt,	Final cells: 12465
102295.txt,	Final cells: 59763
102296.txt,	Final cells: 96446
102308.txt,	Final cells: 14587
102309.txt,	Final cells: 9659
102375.txt,	Final cells: 536044
102485.txt,	Final cells: 39851
102537.txt,	Final cells: 827854
102625.txt,	Final cells: 7105
102626.txt,	Final cells: 28827
102793.txt,	Final cells: 5552
102794.txt,	Final cells: 5629
1028706.txt,	Final cells: 66517
1028707.txt,	Final cells: 344204
1028708.txt,	Final cells: 258672
103042.txt,	Final cells: 200506
103044.txt,	Final cells: 176440
103081.txt,	Final cells: 917
103082.txt,	Final cells: 2548
103085.txt,	Final cells: 1533
103086.txt,	Final cells: 1525
103087.txt,	Final cells: 759
103141.txt,	Final cells: 64817
103142.txt,	Final cells: 40016
103143.txt,	Final cells: 5421
103144.txt,	Final cells: 1212
103145.txt,	Final cells: 1851
103146.txt,	Final cells: 70192
103148.txt,	Final cells: 622426
103194.txt,	Final cells: 374730
103196.txt,	Final cells: 9874
103197.txt,	Final cells: 131033
103207.txt,	Final cells: 1701
103211.txt,	Final cells: 1192
103212.txt,	Final cells: 1193
